,Date,Year,Month,Unit,Type_Of_Meat,Production
0,2010-01-01,2010,1,Million Pounds,Poultry,3325.2999999999997
1,2010-01-01,2010,1,Million Pounds,Red Meat,7788.3
2,2010-02-01,2010,2,Million Pounds,Poultry,3198.4
3,2010-02-01,2010,2,Million Pounds,Red Meat,7430.400000000001
4,2010-03-01,2010,3,Million Pounds,Poultry,3630.8
5,2010-03-01,2010,3,Million Pounds,Red Meat,8515.9
6,2010-04-01,2010,4,Million Pounds,Poultry,3569.0
7,2010-04-01,2010,4,Million Pounds,Red Meat,7982.1
8,2010-05-01,2010,5,Million Pounds,Poultry,3515.3
9,2010-05-01,2010,5,Million Pounds,Red Meat,7422.2
10,2010-06-01,2010,6,Million Pounds,Poultry,3622.2
11,2010-06-01,2010,6,Million Pounds,Red Meat,8309.7
12,2010-07-01,2010,7,Million Pounds,Poultry,3592.1
13,2010-07-01,2010,7,Million Pounds,Red Meat,7872.2
14,2010-08-01,2010,8,Million Pounds,Poultry,3714.4
15,2010-08-01,2010,8,Million Pounds,Red Meat,8208.1
16,2010-09-01,2010,9,Million Pounds,Poultry,3765.0
17,2010-09-01,2010,9,Million Pounds,Red Meat,8273.1
18,2010-10-01,2010,10,Million Pounds,Poultry,3691.7999999999997
19,2010-10-01,2010,10,Million Pounds,Red Meat,8475.5
20,2010-11-01,2010,11,Million Pounds,Poultry,3689.0
21,2010-11-01,2010,11,Million Pounds,Red Meat,8615.2
22,2010-12-01,2010,12,Million Pounds,Poultry,3739.6
23,2010-12-01,2010,12,Million Pounds,Red Meat,8659.6
24,2011-01-01,2011,1,Million Pounds,Poultry,3628.7
25,2011-01-01,2011,1,Million Pounds,Red Meat,8039.599999999999
26,2011-02-01,2011,2,Million Pounds,Poultry,3352.8
27,2011-02-01,2011,2,Million Pounds,Red Meat,7580.8
28,2011-03-01,2011,3,Million Pounds,Poultry,3790.1000000000004
29,2011-03-01,2011,3,Million Pounds,Red Meat,8649.0
30,2011-04-01,2011,4,Million Pounds,Poultry,3516.9
31,2011-04-01,2011,4,Million Pounds,Red Meat,7696.2
32,2011-05-01,2011,5,Million Pounds,Poultry,3749.6
33,2011-05-01,2011,5,Million Pounds,Red Meat,7789.8
34,2011-06-01,2011,6,Million Pounds,Poultry,3830.2999999999997
35,2011-06-01,2011,6,Million Pounds,Red Meat,8395.8
36,2011-07-01,2011,7,Million Pounds,Poultry,3596.4
37,2011-07-01,2011,7,Million Pounds,Red Meat,7548.2
38,2011-08-01,2011,8,Million Pounds,Poultry,3828.3
39,2011-08-01,2011,8,Million Pounds,Red Meat,8561.2
40,2011-09-01,2011,9,Million Pounds,Poultry,3728.7000000000003
41,2011-09-01,2011,9,Million Pounds,Red Meat,8338.5
42,2011-10-01,2011,10,Million Pounds,Poultry,3613.4
43,2011-10-01,2011,10,Million Pounds,Red Meat,8491.9
44,2011-11-01,2011,11,Million Pounds,Poultry,3471.3999999999996
45,2011-11-01,2011,11,Million Pounds,Red Meat,8474.6
46,2011-12-01,2011,12,Million Pounds,Poultry,3410.3
47,2011-12-01,2011,12,Million Pounds,Red Meat,8386.5
48,2012-01-01,2012,1,Million Pounds,Poultry,3593.9
49,2012-01-01,2012,1,Million Pounds,Red Meat,8200.5
50,2012-02-01,2012,2,Million Pounds,Poultry,3469.1
51,2012-02-01,2012,2,Million Pounds,Red Meat,7786.7
52,2012-03-01,2012,3,Million Pounds,Poultry,3550.7000000000003
53,2012-03-01,2012,3,Million Pounds,Red Meat,8303.1
54,2012-04-01,2012,4,Million Pounds,Poultry,3537.5
55,2012-04-01,2012,4,Million Pounds,Red Meat,7670.3
56,2012-05-01,2012,5,Million Pounds,Poultry,3807.5
57,2012-05-01,2012,5,Million Pounds,Red Meat,8326.0
58,2012-06-01,2012,6,Million Pounds,Poultry,3674.4
59,2012-06-01,2012,6,Million Pounds,Red Meat,8007.3
60,2012-07-01,2012,7,Million Pounds,Poultry,3677.0
61,2012-07-01,2012,7,Million Pounds,Red Meat,7851.8
62,2012-08-01,2012,8,Million Pounds,Poultry,3865.7
63,2012-08-01,2012,8,Million Pounds,Red Meat,8735.9
64,2012-09-01,2012,9,Million Pounds,Poultry,3500.9
65,2012-09-01,2012,9,Million Pounds,Red Meat,7851.4
66,2012-10-01,2012,10,Million Pounds,Poultry,3832.4
67,2012-10-01,2012,10,Million Pounds,Red Meat,9105.9
