date,Red_Meat_Weight,Poultry_Meat_Weight,Red_Meat_Production,Poultry_Meat_Production,Red_Meat_Count,Poultry_Meat_Count,unemployment_rate
2010-01-01,924.89,903.62,7788.3,3325.3,47097.5,701418.0,7.198414783772249
2010-02-01,938.38,940.04,7430.400000000001,3198.4,45558.7,679766.0,7.269578708914833
2010-03-01,941.9199999999998,976.64,8515.9,3630.8,52691.2,782464.0,7.34132391692531
2010-04-01,921.76,999.04,7982.1,3569.0,48233.2,745902.0,7.413657410401644
2010-05-01,876.28,1053.68,7422.2,3515.3,43611.4,735859.0,7.486586327149541
2010-06-01,837.79,1150.36,8309.7,3622.2,49084.4,777681.0,7.560117944693562
2010-07-01,816.09,1169.99,7872.2,3592.1,46148.2,762850.0,7.634259685020055
2010-08-01,808.5799999999999,1164.86,8208.1,3714.4,48954.3,802955.0,7.709019119566728
2010-09-01,803.38,1196.01,8273.1,3765.0,49625.5,787720.0,7.784403974474699
2010-10-01,844.67,1180.52,8475.5,3691.8,51024.2,757476.0,7.860422136120015
2010-11-01,918.61,1137.97,8615.2,3689.0,52130.6,743038.0,7.937081656942751
2010-12-01,925.32,936.72,8659.6,3739.6,52072.8,755774.0,8.014390761593152
2011-01-01,939.87,993.66,8039.599999999999,3628.7,47889.8,743967.0,8.09235785341557
2011-02-01,1017.37,1023.81,7580.8,3352.8,45032.5,688336.0,8.167196723632621
2011-03-01,1050.56,1004.84,8649.0,3790.1,51977.7,798418.0,8.239086474939732
2011-04-01,1036.58,1017.74,7696.2,3516.9,46085.9,717599.0,8.308206210032335
2011-05-01,1009.55,1100.0,7789.8,3749.6,46031.5,778532.0,8.37473503160586
2011-06-01,1014.88,1197.74,8395.8,3830.3,48777.1,787805.0,8.43885204235574
2011-07-01,949.37,1262.34,7548.2,3596.4,44252.9,730996.0,8.500736344977401
2011-08-01,894.1899999999999,1282.68,8561.2,3828.3,51161.9,802958.0,8.560567042166275
2011-09-01,896.6999999999999,1224.19,8338.5,3728.7,50827.7,755123.0,8.618523236617795
2011-10-01,944.88,1188.8,8491.9,3613.4,51589.4,736862.0,8.67478403102739
2011-11-01,929.34,1111.22,8474.6,3471.4,51932.0,700034.0,8.729528528090489
2011-12-01,961.13,847.43,8386.5,3410.3,51377.6,689857.0,8.782935830502524
2012-01-01,961.46,839.3,8200.5,3593.9,49543.9,739461.0,8.835185040958926
2012-02-01,1092.65,910.84,7786.7,3469.1,46942.9,704278.0,8.886455262155124
2012-03-01,1118.69,957.93,8303.1,3550.7000000000003,49738.7,732106.0,8.93692559678655
