,Date,Year,Month,Unit,Type of Meat,Production
0,2010-01-01,2010,1,Million Pounds,Poultry,"2,831.2037.8456.3"
1,2010-01-01,2010,1,Million Pounds,Red Meat,"2,081.8011.61,809.7012.82,051.1011.31,797.8012.2"
2,2010-02-01,2010,2,Million Pounds,Poultry,"2,739.5034.7424.2"
3,2010-02-01,2010,2,Million Pounds,Red Meat,"1,955.2010.71,757.5012.41,927.2010.51,745.0011.9"
4,2010-03-01,2010,3,Million Pounds,Poultry,"3,162.0043.4425.4"
5,2010-03-01,2010,3,Million Pounds,Red Meat,"2,211.2012.22,040.1017.72,180.7011.92,025.1017"
6,2010-04-01,2010,4,Million Pounds,Poultry,"3,038.3040.7490"
7,2010-04-01,2010,4,Million Pounds,Red Meat,"2,139.2011.11,849.1012.92,110.8010.81,835.9012.3"
8,2010-05-01,2010,5,Million Pounds,Poultry,"3,020.0040.2455.1"
9,2010-05-01,2010,5,Million Pounds,Red Meat,"2,087.2010.11,621.3012.62,060.709.81,608.7011.8"
10,2010-06-01,2010,6,Million Pounds,Poultry,"3,139.7043.7438.8"
11,2010-06-01,2010,6,Million Pounds,Red Meat,"2,320.0010.71,831.7014.12,290.8010.41,818.7013.3"
12,2010-07-01,2010,7,Million Pounds,Poultry,"3,057.7044.9489.5"
13,2010-07-01,2010,7,Million Pounds,Red Meat,"2,229.6010.91,702.2012.82,204.3010.71,689.8011.9"
14,2010-08-01,2010,8,Million Pounds,Poultry,"3,200.0047.5466.9"
15,2010-08-01,2010,8,Million Pounds,Red Meat,"2,286.6011.21,815.3012.82,258.5010.91,800.9011.9"
16,2010-09-01,2010,9,Million Pounds,Poultry,"3,238.3045.6481.1"
17,2010-09-01,2010,9,Million Pounds,Red Meat,"2,252.2011.31,883.5013.12,222.10111,867.8012.1"
18,2010-10-01,2010,10,Million Pounds,Poultry,"3,183.7041467.1"
19,2010-10-01,2010,10,Million Pounds,Red Meat,"2,234.9011.42,002.7013.12,201.30111,988.8012.3"
20,2010-11-01,2010,11,Million Pounds,Poultry,"3,124.4040.3524.3"
21,2010-11-01,2010,11,Million Pounds,Red Meat,"2,235.5011.32,068.0014.42,206.50112,055.0013.5"
22,2010-12-01,2010,12,Million Pounds,Poultry,"3,175.0044.1520.5"
23,2010-12-01,2010,12,Million Pounds,Red Meat,"2,270.9011.72,055.4014.92,240.2011.42,041.1014"
24,2011-01-01,2011,1,Million Pounds,Poultry,"3,127.5039.8461.4"
25,2011-01-01,2011,1,Million Pounds,Red Meat,"2,122.9010.81,896.2011.22,093.1010.51,884.2010.7"
26,2011-02-01,2011,2,Million Pounds,Poultry,"2,852.4037.4463"
27,2011-02-01,2011,2,Million Pounds,Red Meat,"2,020.4010.51,768.1010.91,994.1010.21,756.1010.5"
28,2011-03-01,2011,3,Million Pounds,Poultry,"3,310.4044.1435.6"
29,2011-03-01,2011,3,Million Pounds,Red Meat,"2,266.2012.12,054.4014.12,236.7011.82,040.1013.6"
30,2011-04-01,2011,4,Million Pounds,Poultry,"2,973.5040.3503.1"
31,2011-04-01,2011,4,Million Pounds,Red Meat,"2,052.5010.21,790.7014.42,026.10101,778.6013.7"
32,2011-05-01,2011,5,Million Pounds,Poultry,"3,251.1042.9455.6"
33,2011-05-01,2011,5,Million Pounds,Red Meat,"2,131.9010.31,759.7012.92,105.40101,747.3012.3"
34,2011-06-01,2011,6,Million Pounds,Poultry,"3,284.6049.3496.4"
35,2011-06-01,2011,6,Million Pounds,Red Meat,"2,375.0011.21,820.0012.62,347.10111,807.1011.8"
36,2011-07-01,2011,7,Million Pounds,Poultry,"3,030.9046.2519.3"
37,2011-07-01,2011,7,Million Pounds,Red Meat,"2,134.1010.11,637.1010.92,110.609.91,625.3010.2"
38,2011-08-01,2011,8,Million Pounds,Poultry,"3,330.3049.9448.1"
39,2011-08-01,2011,8,Million Pounds,Red Meat,"2,386.9011.41,892.1013.12,358.1011.11,876.2012.3"
40,2011-09-01,2011,9,Million Pounds,Poultry,"3,180.4047501.3"
41,2011-09-01,2011,9,Million Pounds,Red Meat,"2,215.2010.71,954.4011.82,185.7010.41,939.2011.1"
42,2011-10-01,2011,10,Million Pounds,Poultry,"3,096.8043.4473.2"
43,2011-10-01,2011,10,Million Pounds,Red Meat,"2,215.1010.62,033.2011.72,181.2010.32,018.8011"
44,2011-11-01,2011,11,Million Pounds,Poultry,"2,907.1039.8524.5"
45,2011-11-01,2011,11,Million Pounds,Red Meat,"2,148.8010.82,086.7012.62,119.8010.52,073.6011.8"
46,2011-12-01,2011,12,Million Pounds,Poultry,"2,857.5041.4511.4"
47,2011-12-01,2011,12,Million Pounds,Red Meat,"2,126.3010.82,065.6012.52,096.4010.52,052.6011.8"
48,2012-01-01,2012,1,Million Pounds,Poultry,"3,091.8043.2458.9"
49,2012-01-01,2012,1,Million Pounds,Red Meat,"2,113.1010.41,987.3012.12,081.7010.21,974.1011.6"
50,2012-02-01,2012,2,Million Pounds,Poultry,"2,953.6038.8476.7"
51,2012-02-01,2012,2,Million Pounds,Red Meat,"2,008.909.81,883.0012.31,981.209.61,870.1011.8"
52,2012-03-01,2012,3,Million Pounds,Poultry,"3,043.8040.1466.8"
53,2012-03-01,2012,3,Million Pounds,Red Meat,"2,159.50101,987.7014.22,133.309.71,975.1013.6"
54,2012-04-01,2012,4,Million Pounds,Poultry,"2,993.8041.6502.1"
55,2012-04-01,2012,4,Million Pounds,Red Meat,"1,990.609.91,841.9012.91,964.009.61,829.2012.2"
56,2012-05-01,2012,5,Million Pounds,Poultry,"3,281.8047.7478"
57,2012-05-01,2012,5,Million Pounds,Red Meat,"2,231.9010.41,926.8013.62,206.4010.11,913.9012.9"
58,2012-06-01,2012,6,Million Pounds,Poultry,"3,105.3049.2519.9"
59,2012-06-01,2012,6,Million Pounds,Red Meat,"2,250.708.91,750.5012.42,225.808.71,738.5011.8"
60,2012-07-01,2012,7,Million Pounds,Poultry,"3,127.0043.4506.6"
61,2012-07-01,2012,7,Million Pounds,Red Meat,"2,201.409.51,721.9012.52,176.809.21,708.7011.8"
62,2012-08-01,2012,8,Million Pounds,Poultry,"3,317.5051497.2"
63,2012-08-01,2012,8,Million Pounds,Red Meat,"2,368.6010.11,998.1014.22,338.609.91,983.0013.4"
64,2012-09-01,2012,9,Million Pounds,Poultry,"2,927.1043.7530.1"
65,2012-09-01,2012,9,Million Pounds,Red Meat,"2,015.508.81,911.2012.51,986.108.61,896.9011.8"
66,2012-10-01,2012,10,Million Pounds,Poultry,"3,335.5043.8453.1"
67,2012-10-01,2012,10,Million Pounds,Red Meat,"2,344.8010.32,210.7014.32,307.60102,194.9013.3"
68,2012-11-01,2012,11,Million Pounds,Poultry,"3,008.5037.7579.9"
69,2012-11-01,2012,11,Million Pounds,Red Meat,"2,207.5010.12,079.2012.52,178.809.82,065.1011.6"
70,2012-12-01,2012,12,Million Pounds,Poultry,"2,853.7036.3515.3"
71,2012-12-01,2012,12,Million Pounds,Red Meat,"2,020.109.81,954.2012.81,992.309.61,940.5011.9"
72,2013-01-01,2013,1,Million Pounds,Poultry,"3,267.1046.6441.5"
73,2013-01-01,2013,1,Million Pounds,Red Meat,"2,261.3010.52,064.9012.42,227.9010.22,052.1011.7"
74,2013-02-01,2013,2,Million Pounds,Poultry,"2,877.6039.2524.6"
75,2013-02-01,2013,2,Million Pounds,Red Meat,"1,873.4091,778.4011.51,845.008.81,766.7010.9"
76,2013-03-01,2013,3,Million Pounds,Poultry,"2,999.2038461.7"
77,2013-03-01,2013,3,Million Pounds,Red Meat,"2,039.809.21,932.0013.82,012.3091,920.4013.1"
78,2013-04-01,2013,4,Million Pounds,Poultry,"3,194.1045.5472.7"
