,Date,Year,Month,Unit,Type_Of_Meat,Weight
0,2010-01-01,2010,1,Million Pounds,Poultry,903.62
1,2010-01-01,2010,1,Million Pounds,Red Meat,924.89
2,2010-02-01,2010,2,Million Pounds,Poultry,940.0400000000001
3,2010-02-01,2010,2,Million Pounds,Red Meat,938.38
4,2010-03-01,2010,3,Million Pounds,Poultry,976.64
5,2010-03-01,2010,3,Million Pounds,Red Meat,941.9199999999998
6,2010-04-01,2010,4,Million Pounds,Poultry,999.0400000000001
7,2010-04-01,2010,4,Million Pounds,Red Meat,921.76
8,2010-05-01,2010,5,Million Pounds,Poultry,1053.68
9,2010-05-01,2010,5,Million Pounds,Red Meat,876.28
10,2010-06-01,2010,6,Million Pounds,Poultry,1150.36
11,2010-06-01,2010,6,Million Pounds,Red Meat,837.79
12,2010-07-01,2010,7,Million Pounds,Poultry,1169.99
13,2010-07-01,2010,7,Million Pounds,Red Meat,816.09
14,2010-08-01,2010,8,Million Pounds,Poultry,1164.86
15,2010-08-01,2010,8,Million Pounds,Red Meat,808.5799999999999
16,2010-09-01,2010,9,Million Pounds,Poultry,1196.01
17,2010-09-01,2010,9,Million Pounds,Red Meat,803.38
18,2010-10-01,2010,10,Million Pounds,Poultry,1180.52
19,2010-10-01,2010,10,Million Pounds,Red Meat,844.67
20,2010-11-01,2010,11,Million Pounds,Poultry,1137.97
21,2010-11-01,2010,11,Million Pounds,Red Meat,918.61
22,2010-12-01,2010,12,Million Pounds,Poultry,936.72
23,2010-12-01,2010,12,Million Pounds,Red Meat,925.3199999999999
24,2011-01-01,2011,1,Million Pounds,Poultry,993.6600000000001
25,2011-01-01,2011,1,Million Pounds,Red Meat,939.87
26,2011-02-01,2011,2,Million Pounds,Poultry,1023.81
27,2011-02-01,2011,2,Million Pounds,Red Meat,1017.37
28,2011-03-01,2011,3,Million Pounds,Poultry,1004.84
29,2011-03-01,2011,3,Million Pounds,Red Meat,1050.56
30,2011-04-01,2011,4,Million Pounds,Poultry,1017.74
31,2011-04-01,2011,4,Million Pounds,Red Meat,1036.58
32,2011-05-01,2011,5,Million Pounds,Poultry,1100.0
33,2011-05-01,2011,5,Million Pounds,Red Meat,1009.55
34,2011-06-01,2011,6,Million Pounds,Poultry,1197.74
35,2011-06-01,2011,6,Million Pounds,Red Meat,1014.88
36,2011-07-01,2011,7,Million Pounds,Poultry,1262.3400000000001
37,2011-07-01,2011,7,Million Pounds,Red Meat,949.37
38,2011-08-01,2011,8,Million Pounds,Poultry,1282.68
39,2011-08-01,2011,8,Million Pounds,Red Meat,894.1899999999999
40,2011-09-01,2011,9,Million Pounds,Poultry,1224.19
41,2011-09-01,2011,9,Million Pounds,Red Meat,896.6999999999999
42,2011-10-01,2011,10,Million Pounds,Poultry,1188.8
43,2011-10-01,2011,10,Million Pounds,Red Meat,944.88
44,2011-11-01,2011,11,Million Pounds,Poultry,1111.22
