Date,Year,Month,Unit,Animal,Weight,Type_Of_Meat
Dec-2023,2023,12,Million Pounds,Beef,457.41,Red Meat
Nov-2023,2023,11,Million Pounds,Beef,445.67,Red Meat
Oct-2023,2023,10,Million Pounds,Beef,420.85,Red Meat
Sep-2023,2023,9,Million Pounds,Beef,395.4,Red Meat
Aug-2023,2023,8,Million Pounds,Beef,410.46,Red Meat
Jul-2023,2023,7,Million Pounds,Beef,410.74,Red Meat
Jun-2023,2023,6,Million Pounds,Beef,425.66,Red Meat
May-2023,2023,5,Million Pounds,Beef,452.08,Red Meat
Apr-2023,2023,4,Million Pounds,Beef,477.81,Red Meat
Mar-2023,2023,3,Million Pounds,Beef,500.78,Red Meat
Feb-2023,2023,2,Million Pounds,Beef,534.03,Red Meat
Jan-2023,2023,1,Million Pounds,Beef,543.96,Red Meat
Dec-2022,2022,12,Million Pounds,Beef,523.25,Red Meat
Nov-2022,2022,11,Million Pounds,Beef,510.25,Red Meat
Oct-2022,2022,10,Million Pounds,Beef,526.14,Red Meat
Sep-2022,2022,9,Million Pounds,Beef,513.79,Red Meat
Aug-2022,2022,8,Million Pounds,Beef,511.85,Red Meat
Jul-2022,2022,7,Million Pounds,Beef,516.79,Red Meat
Jun-2022,2022,6,Million Pounds,Beef,526.12,Red Meat
May-2022,2022,5,Million Pounds,Beef,532.17,Red Meat
Apr-2022,2022,4,Million Pounds,Beef,535.84,Red Meat
Mar-2022,2022,3,Million Pounds,Beef,531.57,Red Meat
Feb-2022,2022,2,Million Pounds,Beef,525.72,Red Meat
Jan-2022,2022,1,Million Pounds,Beef,507.12,Red Meat
Dec-2021,2021,12,Million Pounds,Beef,490.41,Red Meat
Nov-2021,2021,11,Million Pounds,Beef,473.76,Red Meat
Oct-2021,2021,10,Million Pounds,Beef,439.62,Red Meat
Sep-2021,2021,9,Million Pounds,Beef,414.9,Red Meat
Aug-2021,2021,8,Million Pounds,Beef,400.84,Red Meat
Jul-2021,2021,7,Million Pounds,Beef,401.52,Red Meat
Jun-2021,2021,6,Million Pounds,Beef,416.68,Red Meat
May-2021,2021,5,Million Pounds,Beef,448.85,Red Meat
Apr-2021,2021,4,Million Pounds,Beef,482.99,Red Meat
Mar-2021,2021,3,Million Pounds,Beef,512.53,Red Meat
Feb-2021,2021,2,Million Pounds,Beef,519.35,Red Meat
Jan-2021,2021,1,Million Pounds,Beef,535.9,Red Meat
Dec-2020,2020,12,Million Pounds,Beef,511.42,Red Meat
Nov-2020,2020,11,Million Pounds,Beef,500.22,Red Meat
Oct-2020,2020,10,Million Pounds,Beef,463.02,Red Meat
Sep-2020,2020,9,Million Pounds,Beef,449.34,Red Meat
Aug-2020,2020,8,Million Pounds,Beef,440.18,Red Meat
Jul-2020,2020,7,Million Pounds,Beef,429.3,Red Meat
Jun-2020,2020,6,Million Pounds,Beef,417.36,Red Meat
May-2020,2020,5,Million Pounds,Beef,479.46,Red Meat
Apr-2020,2020,4,Million Pounds,Beef,502.34,Red Meat
Mar-2020,2020,3,Million Pounds,Beef,494.59,Red Meat
Feb-2020,2020,2,Million Pounds,Beef,488.2,Red Meat
Jan-2020,2020,1,Million Pounds,Beef,480.12,Red Meat
Dec-2019,2019,12,Million Pounds,Beef,478.26,Red Meat
Nov-2019,2019,11,Million Pounds,Beef,466.27,Red Meat
Oct-2019,2019,10,Million Pounds,Beef,468.98,Red Meat
Sep-2019,2019,9,Million Pounds,Beef,469.88,Red Meat
Aug-2019,2019,8,Million Pounds,Beef,454.46,Red Meat
Jul-2019,2019,7,Million Pounds,Beef,405.65,Red Meat
Jun-2019,2019,6,Million Pounds,Beef,405.15,Red Meat
May-2019,2019,5,Million Pounds,Beef,430.22,Red Meat
Apr-2019,2019,4,Million Pounds,Beef,451.94,Red Meat
Mar-2019,2019,3,Million Pounds,Beef,473.98,Red Meat
Feb-2019,2019,2,Million Pounds,Beef,510.21,Red Meat
Jan-2019,2019,1,Million Pounds,Beef,495.62,Red Meat
Dec-2018,2018,12,Million Pounds,Beef,514.7,Red Meat
Nov-2018,2018,11,Million Pounds,Beef,515.57,Red Meat
Oct-2018,2018,10,Million Pounds,Beef,507.17,Red Meat
Sep-2018,2018,9,Million Pounds,Beef,501.32,Red Meat
Aug-2018,2018,8,Million Pounds,Beef,484.25,Red Meat
Jul-2018,2018,7,Million Pounds,Beef,448.59,Red Meat
Jun-2018,2018,6,Million Pounds,Beef,464.65,Red Meat
May-2018,2018,5,Million Pounds,Beef,471.16,Red Meat
Apr-2018,2018,4,Million Pounds,Beef,463.96,Red Meat
Mar-2018,2018,3,Million Pounds,Beef,459.34,Red Meat
Feb-2018,2018,2,Million Pounds,Beef,501.74,Red Meat
Jan-2018,2018,1,Million Pounds,Beef,488.06,Red Meat
Dec-2017,2017,12,Million Pounds,Beef,485.19,Red Meat
Nov-2017,2017,11,Million Pounds,Beef,507.04,Red Meat
Oct-2017,2017,10,Million Pounds,Beef,496.02,Red Meat
Sep-2017,2017,9,Million Pounds,Beef,476.57,Red Meat
Aug-2017,2017,8,Million Pounds,Beef,431.84,Red Meat
Jul-2017,2017,7,Million Pounds,Beef,415.33,Red Meat
Jun-2017,2017,6,Million Pounds,Beef,411.5,Red Meat
May-2017,2017,5,Million Pounds,Beef,458.42,Red Meat
Apr-2017,2017,4,Million Pounds,Beef,464,Red Meat
Mar-2017,2017,3,Million Pounds,Beef,502.45,Red Meat
Feb-2017,2017,2,Million Pounds,Beef,538.22,Red Meat
Jan-2017,2017,1,Million Pounds,Beef,567.89,Red Meat
Dec-2016,2016,12,Million Pounds,Beef,530.95,Red Meat
Nov-2016,2016,11,Million Pounds,Beef,533.07,Red Meat
Oct-2016,2016,10,Million Pounds,Beef,519.02,Red Meat
Sep-2016,2016,9,Million Pounds,Beef,476.59,Red Meat
Aug-2016,2016,8,Million Pounds,Beef,469.74,Red Meat
Jul-2016,2016,7,Million Pounds,Beef,464.53,Red Meat
Jun-2016,2016,6,Million Pounds,Beef,461.68,Red Meat
May-2016,2016,5,Million Pounds,Beef,467.8,Red Meat
Apr-2016,2016,4,Million Pounds,Beef,481.76,Red Meat
Mar-2016,2016,3,Million Pounds,Beef,506.36,Red Meat
Feb-2016,2016,2,Million Pounds,Beef,534.11,Red Meat
Jan-2016,2016,1,Million Pounds,Beef,512.52,Red Meat
Dec-2015,2015,12,Million Pounds,Beef,510.64,Red Meat
Nov-2015,2015,11,Million Pounds,Beef,509.13,Red Meat
Oct-2015,2015,10,Million Pounds,Beef,498.35,Red Meat
Sep-2015,2015,9,Million Pounds,Beef,470.32,Red Meat
Aug-2015,2015,8,Million Pounds,Beef,460.09,Red Meat
Jul-2015,2015,7,Million Pounds,Beef,474.27,Red Meat
Jun-2015,2015,6,Million Pounds,Beef,474.61,Red Meat
May-2015,2015,5,Million Pounds,Beef,484.29,Red Meat
Apr-2015,2015,4,Million Pounds,Beef,481.47,Red Meat
Mar-2015,2015,3,Million Pounds,Beef,491.88,Red Meat
Feb-2015,2015,2,Million Pounds,Beef,492,Red Meat
Jan-2015,2015,1,Million Pounds,Beef,444.38,Red Meat
Dec-2014,2014,12,Million Pounds,Beef,400.83,Red Meat
Nov-2014,2014,11,Million Pounds,Beef,380.93,Red Meat
Oct-2014,2014,10,Million Pounds,Beef,378.17,Red Meat
Sep-2014,2014,9,Million Pounds,Beef,346.56,Red Meat
Aug-2014,2014,8,Million Pounds,Beef,367.94,Red Meat
Jul-2014,2014,7,Million Pounds,Beef,358.17,Red Meat
Jun-2014,2014,6,Million Pounds,Beef,377.64,Red Meat
May-2014,2014,5,Million Pounds,Beef,402.28,Red Meat
Apr-2014,2014,4,Million Pounds,Beef,405.79,Red Meat
Mar-2014,2014,3,Million Pounds,Beef,409.51,Red Meat
Feb-2014,2014,2,Million Pounds,Beef,429.3,Red Meat
Jan-2014,2014,1,Million Pounds,Beef,439.37,Red Meat
Dec-2013,2013,12,Million Pounds,Beef,450.76,Red Meat
Nov-2013,2013,11,Million Pounds,Beef,440.11,Red Meat
Oct-2013,2013,10,Million Pounds,Beef,445.16,Red Meat
Sep-2013,2013,9,Million Pounds,Beef,430.24,Red Meat
Aug-2013,2013,8,Million Pounds,Beef,462.6,Red Meat
Jul-2013,2013,7,Million Pounds,Beef,481.25,Red Meat
Jun-2013,2013,6,Million Pounds,Beef,482.57,Red Meat
May-2013,2013,5,Million Pounds,Beef,510.13,Red Meat
Apr-2013,2013,4,Million Pounds,Beef,511.23,Red Meat
Mar-2013,2013,3,Million Pounds,Beef,489.98,Red Meat
Feb-2013,2013,2,Million Pounds,Beef,484.61,Red Meat
Jan-2013,2013,1,Million Pounds,Beef,465.72,Red Meat
Dec-2012,2012,12,Million Pounds,Beef,441.76,Red Meat
Nov-2012,2012,11,Million Pounds,Beef,430.34,Red Meat
Oct-2012,2012,10,Million Pounds,Beef,424.93,Red Meat
Sep-2012,2012,9,Million Pounds,Beef,432.78,Red Meat
Aug-2012,2012,8,Million Pounds,Beef,461.05,Red Meat
Jul-2012,2012,7,Million Pounds,Beef,468.73,Red Meat
Jun-2012,2012,6,Million Pounds,Beef,497.9,Red Meat
May-2012,2012,5,Million Pounds,Beef,517.85,Red Meat
Apr-2012,2012,4,Million Pounds,Beef,503.17,Red Meat
Mar-2012,2012,3,Million Pounds,Beef,470.81,Red Meat
Feb-2012,2012,2,Million Pounds,Beef,485.06,Red Meat
Jan-2012,2012,1,Million Pounds,Beef,457.22,Red Meat
Dec-2011,2011,12,Million Pounds,Beef,443.76,Red Meat
Nov-2011,2011,11,Million Pounds,Beef,416.95,Red Meat
Oct-2011,2011,10,Million Pounds,Beef,427.59,Red Meat
Sep-2011,2011,9,Million Pounds,Beef,428.63,Red Meat
Aug-2011,2011,8,Million Pounds,Beef,415.2,Red Meat
Jul-2011,2011,7,Million Pounds,Beef,432.76,Red Meat
Jun-2011,2011,6,Million Pounds,Beef,447.64,Red Meat
May-2011,2011,5,Million Pounds,Beef,443.15,Red Meat
Apr-2011,2011,4,Million Pounds,Beef,445.53,Red Meat
Mar-2011,2011,3,Million Pounds,Beef,459.83,Red Meat
Feb-2011,2011,2,Million Pounds,Beef,461.73,Red Meat
Jan-2011,2011,1,Million Pounds,Beef,444.96,Red Meat
Dec-2010,2010,12,Million Pounds,Beef,435.17,Red Meat
Nov-2010,2010,11,Million Pounds,Beef,414.65,Red Meat
Oct-2010,2010,10,Million Pounds,Beef,396.82,Red Meat
Sep-2010,2010,9,Million Pounds,Beef,387.44,Red Meat
Aug-2010,2010,8,Million Pounds,Beef,388.8,Red Meat
Jul-2010,2010,7,Million Pounds,Beef,374.22,Red Meat
Jun-2010,2010,6,Million Pounds,Beef,362.78,Red Meat
May-2010,2010,5,Million Pounds,Beef,369.49,Red Meat
Apr-2010,2010,4,Million Pounds,Beef,384.6,Red Meat
Mar-2010,2010,3,Million Pounds,Beef,404.51,Red Meat
Feb-2010,2010,2,Million Pounds,Beef,426.26,Red Meat
Jan-2010,2010,1,Million Pounds,Beef,430.28,Red Meat
Dec-2009,2009,12,Million Pounds,Beef,430.91,Red Meat
Nov-2009,2009,11,Million Pounds,Beef,427.72,Red Meat
Oct-2009,2009,10,Million Pounds,Beef,428.91,Red Meat
Sep-2009,2009,9,Million Pounds,Beef,420.1,Red Meat
Aug-2009,2009,8,Million Pounds,Beef,444.81,Red Meat
Jul-2009,2009,7,Million Pounds,Beef,434.8,Red Meat
Jun-2009,2009,6,Million Pounds,Beef,417.88,Red Meat
May-2009,2009,5,Million Pounds,Beef,410.71,Red Meat
Apr-2009,2009,4,Million Pounds,Beef,425.88,Red Meat
Mar-2009,2009,3,Million Pounds,Beef,434.51,Red Meat
Feb-2009,2009,2,Million Pounds,Beef,462.65,Red Meat
Jan-2009,2009,1,Million Pounds,Beef,492.64,Red Meat
Dec-2008,2008,12,Million Pounds,Beef,481.56,Red Meat
Nov-2008,2008,11,Million Pounds,Beef,470.98,Red Meat
Oct-2008,2008,10,Million Pounds,Beef,454.52,Red Meat
Sep-2008,2008,9,Million Pounds,Beef,441.15,Red Meat
Aug-2008,2008,8,Million Pounds,Beef,430.82,Red Meat
Jul-2008,2008,7,Million Pounds,Beef,428.12,Red Meat
Jun-2008,2008,6,Million Pounds,Beef,420.37,Red Meat
May-2008,2008,5,Million Pounds,Beef,416.35,Red Meat
Apr-2008,2008,4,Million Pounds,Beef,426.71,Red Meat
Mar-2008,2008,3,Million Pounds,Beef,436.55,Red Meat
Feb-2008,2008,2,Million Pounds,Beef,450.78,Red Meat
Jan-2008,2008,1,Million Pounds,Beef,482.51,Red Meat
Dec-2007,2007,12,Million Pounds,Beef,475.31,Red Meat
Nov-2007,2007,11,Million Pounds,Beef,488.03,Red Meat
Oct-2007,2007,10,Million Pounds,Beef,486.72,Red Meat
Sep-2007,2007,9,Million Pounds,Beef,480.94,Red Meat
Aug-2007,2007,8,Million Pounds,Beef,467.73,Red Meat
Jul-2007,2007,7,Million Pounds,Beef,430.32,Red Meat
Jun-2007,2007,6,Million Pounds,Beef,411.48,Red Meat
