Date,Year,Month,Unit,Production,Animal,Commercial or Federally Inspected,Type of Meat
Dec-2023,2023,12,Million Pounds,"2,189.80",Beef,Commercial,Red Meat
Nov-2023,2023,11,Million Pounds,"2,280.90",Beef,Commercial,Red Meat
Oct-2023,2023,10,Million Pounds,"2,340.90",Beef,Commercial,Red Meat
Sep-2023,2023,9,Million Pounds,"2,149.40",Beef,Commercial,Red Meat
Aug-2023,2023,8,Million Pounds,"2,363.50",Beef,Commercial,Red Meat
Jul-2023,2023,7,Million Pounds,"2,107.90",Beef,Commercial,Red Meat
Jun-2023,2023,6,Million Pounds,"2,335.00",Beef,Commercial,Red Meat
May-2023,2023,5,Million Pounds,"2,305.80",Beef,Commercial,Red Meat
Apr-2023,2023,4,Million Pounds,"2,069.40",Beef,Commercial,Red Meat
Mar-2023,2023,3,Million Pounds,"2,404.80",Beef,Commercial,Red Meat
Feb-2023,2023,2,Million Pounds,"2,092.20",Beef,Commercial,Red Meat
Jan-2023,2023,1,Million Pounds,"2,324.60",Beef,Commercial,Red Meat
Dec-2022,2022,12,Million Pounds,"2,225.60",Beef,Commercial,Red Meat
Nov-2022,2022,11,Million Pounds,"2,422.00",Beef,Commercial,Red Meat
Oct-2022,2022,10,Million Pounds,"2,404.30",Beef,Commercial,Red Meat
Sep-2022,2022,9,Million Pounds,"2,390.10",Beef,Commercial,Red Meat
Aug-2022,2022,8,Million Pounds,"2,506.00",Beef,Commercial,Red Meat
Jul-2022,2022,7,Million Pounds,"2,247.80",Beef,Commercial,Red Meat
Jun-2022,2022,6,Million Pounds,"2,456.00",Beef,Commercial,Red Meat
May-2022,2022,5,Million Pounds,"2,288.90",Beef,Commercial,Red Meat
Apr-2022,2022,4,Million Pounds,"2,326.70",Beef,Commercial,Red Meat
Mar-2022,2022,3,Million Pounds,"2,506.70",Beef,Commercial,Red Meat
Feb-2022,2022,2,Million Pounds,"2,250.20",Beef,Commercial,Red Meat
Jan-2022,2022,1,Million Pounds,"2,266.40",Beef,Commercial,Red Meat
Dec-2021,2021,12,Million Pounds,"2,362.50",Beef,Commercial,Red Meat
