Date,Year,Month,Unit,Animal,Count,Commercial_Or_Federally_Inspected,Type_Of_Meat
Dec-2023,2023,12,"1,000 Head",Cattle,"2,593.40",Commercial,Red Meat
Nov-2023,2023,11,"1,000 Head",Cattle,"2,729.90",Commercial,Red Meat
Oct-2023,2023,10,"1,000 Head",Cattle,"2,826.00",Commercial,Red Meat
Sep-2023,2023,9,"1,000 Head",Cattle,"2,610.60",Commercial,Red Meat
Aug-2023,2023,8,"1,000 Head",Cattle,"2,890.00",Commercial,Red Meat
Jul-2023,2023,7,"1,000 Head",Cattle,"2,597.80",Commercial,Red Meat
Jun-2023,2023,6,"1,000 Head",Cattle,"2,894.30",Commercial,Red Meat
May-2023,2023,5,"1,000 Head",Cattle,"2,839.70",Commercial,Red Meat
Apr-2023,2023,4,"1,000 Head",Cattle,"2,543.90",Commercial,Red Meat
Mar-2023,2023,3,"1,000 Head",Cattle,"2,938.70",Commercial,Red Meat
Feb-2023,2023,2,"1,000 Head",Cattle,"2,548.30",Commercial,Red Meat
Jan-2023,2023,1,"1,000 Head",Cattle,"2,826.80",Commercial,Red Meat
Dec-2022,2022,12,"1,000 Head",Cattle,"2,684.70",Commercial,Red Meat
Nov-2022,2022,11,"1,000 Head",Cattle,"2,904.90",Commercial,Red Meat
Oct-2022,2022,10,"1,000 Head",Cattle,"2,902.90",Commercial,Red Meat
Sep-2022,2022,9,"1,000 Head",Cattle,"2,897.80",Commercial,Red Meat
Aug-2022,2022,8,"1,000 Head",Cattle,"3,076.10",Commercial,Red Meat
Jul-2022,2022,7,"1,000 Head",Cattle,"2,779.60",Commercial,Red Meat
Jun-2022,2022,6,"1,000 Head",Cattle,"3,044.70",Commercial,Red Meat
May-2022,2022,5,"1,000 Head",Cattle,"2,815.60",Commercial,Red Meat
Apr-2022,2022,4,"1,000 Head",Cattle,"2,813.00",Commercial,Red Meat
Mar-2022,2022,3,"1,000 Head",Cattle,"3,016.10",Commercial,Red Meat
Feb-2022,2022,2,"1,000 Head",Cattle,"2,686.60",Commercial,Red Meat
Jan-2022,2022,1,"1,000 Head",Cattle,"2,703.30",Commercial,Red Meat
Dec-2021,2021,12,"1,000 Head",Cattle,"2,824.30",Commercial,Red Meat
Nov-2021,2021,11,"1,000 Head",Cattle,"2,859.50",Commercial,Red Meat
Oct-2021,2021,10,"1,000 Head",Cattle,"2,850.10",Commercial,Red Meat
Sep-2021,2021,9,"1,000 Head",Cattle,"2,790.10",Commercial,Red Meat
Aug-2021,2021,8,"1,000 Head",Cattle,"2,886.90",Commercial,Red Meat
Jul-2021,2021,7,"1,000 Head",Cattle,"2,849.70",Commercial,Red Meat
Jun-2021,2021,6,"1,000 Head",Cattle,"2,955.00",Commercial,Red Meat
May-2021,2021,5,"1,000 Head",Cattle,"2,702.90",Commercial,Red Meat
Apr-2021,2021,4,"1,000 Head",Cattle,"2,852.40",Commercial,Red Meat
Mar-2021,2021,3,"1,000 Head",Cattle,"3,008.00",Commercial,Red Meat
Feb-2021,2021,2,"1,000 Head",Cattle,"2,525.50",Commercial,Red Meat
Jan-2021,2021,1,"1,000 Head",Cattle,"2,746.00",Commercial,Red Meat
Dec-2020,2020,12,"1,000 Head",Cattle,"2,785.30",Commercial,Red Meat
Nov-2020,2020,11,"1,000 Head",Cattle,"2,707.90",Commercial,Red Meat
Oct-2020,2020,10,"1,000 Head",Cattle,"2,950.10",Commercial,Red Meat
Sep-2020,2020,9,"1,000 Head",Cattle,"2,815.10",Commercial,Red Meat
Aug-2020,2020,8,"1,000 Head",Cattle,"2,805.50",Commercial,Red Meat
Jul-2020,2020,7,"1,000 Head",Cattle,"2,921.10",Commercial,Red Meat
Jun-2020,2020,6,"1,000 Head",Cattle,"2,879.10",Commercial,Red Meat
May-2020,2020,5,"1,000 Head",Cattle,"2,278.00",Commercial,Red Meat
Apr-2020,2020,4,"1,000 Head",Cattle,"2,241.70",Commercial,Red Meat
Mar-2020,2020,3,"1,000 Head",Cattle,"2,922.30",Commercial,Red Meat
Feb-2020,2020,2,"1,000 Head",Cattle,"2,578.90",Commercial,Red Meat
Jan-2020,2020,1,"1,000 Head",Cattle,"2,900.70",Commercial,Red Meat
Dec-2019,2019,12,"1,000 Head",Cattle,"2,751.10",Commercial,Red Meat
Nov-2019,2019,11,"1,000 Head",Cattle,"2,774.20",Commercial,Red Meat
Oct-2019,2019,10,"1,000 Head",Cattle,"2,977.60",Commercial,Red Meat
Sep-2019,2019,9,"1,000 Head",Cattle,"2,676.00",Commercial,Red Meat
Aug-2019,2019,8,"1,000 Head",Cattle,"2,926.00",Commercial,Red Meat
Jul-2019,2019,7,"1,000 Head",Cattle,"2,939.60",Commercial,Red Meat
Jun-2019,2019,6,"1,000 Head",Cattle,"2,808.00",Commercial,Red Meat
May-2019,2019,5,"1,000 Head",Cattle,"2,938.90",Commercial,Red Meat
Apr-2019,2019,4,"1,000 Head",Cattle,"2,829.40",Commercial,Red Meat
Mar-2019,2019,3,"1,000 Head",Cattle,"2,648.70",Commercial,Red Meat
