Date,Year,Month,Unit,Animal,Weight,Commercial_Or_Federally_Inspected,Live_Or_Dressed,Type_Of_Meat
Dec-2023,2023,12,Average Weight in Pounds,Cattle,"1,401.00",Commercial,Live,Red Meat
Nov-2023,2023,11,Average Weight in Pounds,Cattle,"1,387.00",Commercial,Live,Red Meat
Oct-2023,2023,10,Average Weight in Pounds,Cattle,"1,374.00",Commercial,Live,Red Meat
Sep-2023,2023,9,Average Weight in Pounds,Cattle,"1,362.00",Commercial,Live,Red Meat
Aug-2023,2023,8,Average Weight in Pounds,Cattle,"1,350.00",Commercial,Live,Red Meat
Jul-2023,2023,7,Average Weight in Pounds,Cattle,"1,344.00",Commercial,Live,Red Meat
Jun-2023,2023,6,Average Weight in Pounds,Cattle,"1,338.00",Commercial,Live,Red Meat
May-2023,2023,5,Average Weight in Pounds,Cattle,"1,349.00",Commercial,Live,Red Meat
Apr-2023,2023,4,Average Weight in Pounds,Cattle,"1,354.00",Commercial,Live,Red Meat
Mar-2023,2023,3,Average Weight in Pounds,Cattle,"1,366.00",Commercial,Live,Red Meat
Feb-2023,2023,2,Average Weight in Pounds,Cattle,"1,374.00",Commercial,Live,Red Meat
Jan-2023,2023,1,Average Weight in Pounds,Cattle,"1,380.00",Commercial,Live,Red Meat
Dec-2022,2022,12,Average Weight in Pounds,Cattle,"1,384.00",Commercial,Live,Red Meat
Nov-2022,2022,11,Average Weight in Pounds,Cattle,"1,384.00",Commercial,Live,Red Meat
Oct-2022,2022,10,Average Weight in Pounds,Cattle,"1,375.00",Commercial,Live,Red Meat
Sep-2022,2022,9,Average Weight in Pounds,Cattle,"1,364.00",Commercial,Live,Red Meat
Aug-2022,2022,8,Average Weight in Pounds,Cattle,"1,348.00",Commercial,Live,Red Meat
Jul-2022,2022,7,Average Weight in Pounds,Cattle,"1,341.00",Commercial,Live,Red Meat
Jun-2022,2022,6,Average Weight in Pounds,Cattle,"1,339.00",Commercial,Live,Red Meat
May-2022,2022,5,Average Weight in Pounds,Cattle,"1,351.00",Commercial,Live,Red Meat
Apr-2022,2022,4,Average Weight in Pounds,Cattle,"1,373.00",Commercial,Live,Red Meat
Mar-2022,2022,3,Average Weight in Pounds,Cattle,"1,384.00",Commercial,Live,Red Meat
Feb-2022,2022,2,Average Weight in Pounds,Cattle,"1,395.00",Commercial,Live,Red Meat
Jan-2022,2022,1,Average Weight in Pounds,Cattle,"1,398.00",Commercial,Live,Red Meat
Dec-2021,2021,12,Average Weight in Pounds,Cattle,"1,392.00",Commercial,Live,Red Meat
Nov-2021,2021,11,Average Weight in Pounds,Cattle,"1,382.00",Commercial,Live,Red Meat
Oct-2021,2021,10,Average Weight in Pounds,Cattle,"1,376.00",Commercial,Live,Red Meat
Sep-2021,2021,9,Average Weight in Pounds,Cattle,"1,365.00",Commercial,Live,Red Meat
Aug-2021,2021,8,Average Weight in Pounds,Cattle,"1,354.00",Commercial,Live,Red Meat
Jul-2021,2021,7,Average Weight in Pounds,Cattle,"1,349.00",Commercial,Live,Red Meat
Jun-2021,2021,6,Average Weight in Pounds,Cattle,"1,346.00",Commercial,Live,Red Meat
May-2021,2021,5,Average Weight in Pounds,Cattle,"1,360.00",Commercial,Live,Red Meat
Apr-2021,2021,4,Average Weight in Pounds,Cattle,"1,366.00",Commercial,Live,Red Meat
Mar-2021,2021,3,Average Weight in Pounds,Cattle,"1,372.00",Commercial,Live,Red Meat
Feb-2021,2021,2,Average Weight in Pounds,Cattle,"1,390.00",Commercial,Live,Red Meat
Jan-2021,2021,1,Average Weight in Pounds,Cattle,"1,399.00",Commercial,Live,Red Meat
Dec-2020,2020,12,Average Weight in Pounds,Cattle,"1,389.00",Commercial,Live,Red Meat
Nov-2020,2020,11,Average Weight in Pounds,Cattle,"1,387.00",Commercial,Live,Red Meat
Oct-2020,2020,10,Average Weight in Pounds,Cattle,"1,385.00",Commercial,Live,Red Meat
Sep-2020,2020,9,Average Weight in Pounds,Cattle,"1,379.00",Commercial,Live,Red Meat
Aug-2020,2020,8,Average Weight in Pounds,Cattle,"1,365.00",Commercial,Live,Red Meat
Jul-2020,2020,7,Average Weight in Pounds,Cattle,"1,363.00",Commercial,Live,Red Meat
Jun-2020,2020,6,Average Weight in Pounds,Cattle,"1,365.00",Commercial,Live,Red Meat
May-2020,2020,5,Average Weight in Pounds,Cattle,"1,367.00",Commercial,Live,Red Meat
Apr-2020,2020,4,Average Weight in Pounds,Cattle,"1,353.00",Commercial,Live,Red Meat
Mar-2020,2020,3,Average Weight in Pounds,Cattle,"1,368.00",Commercial,Live,Red Meat
Feb-2020,2020,2,Average Weight in Pounds,Cattle,"1,376.00",Commercial,Live,Red Meat
Jan-2020,2020,1,Average Weight in Pounds,Cattle,"1,375.00",Commercial,Live,Red Meat
Dec-2019,2019,12,Average Weight in Pounds,Cattle,"1,373.00",Commercial,Live,Red Meat
Nov-2019,2019,11,Average Weight in Pounds,Cattle,"1,375.00",Commercial,Live,Red Meat
Oct-2019,2019,10,Average Weight in Pounds,Cattle,"1,360.00",Commercial,Live,Red Meat
Sep-2019,2019,9,Average Weight in Pounds,Cattle,"1,352.00",Commercial,Live,Red Meat
Aug-2019,2019,8,Average Weight in Pounds,Cattle,"1,338.00",Commercial,Live,Red Meat
Jul-2019,2019,7,Average Weight in Pounds,Cattle,"1,326.00",Commercial,Live,Red Meat
Jun-2019,2019,6,Average Weight in Pounds,Cattle,"1,313.00",Commercial,Live,Red Meat
May-2019,2019,5,Average Weight in Pounds,Cattle,"1,316.00",Commercial,Live,Red Meat
Apr-2019,2019,4,Average Weight in Pounds,Cattle,"1,329.00",Commercial,Live,Red Meat
Mar-2019,2019,3,Average Weight in Pounds,Cattle,"1,339.00",Commercial,Live,Red Meat
Feb-2019,2019,2,Average Weight in Pounds,Cattle,"1,351.00",Commercial,Live,Red Meat
Jan-2019,2019,1,Average Weight in Pounds,Cattle,"1,363.00",Commercial,Live,Red Meat
Dec-2018,2018,12,Average Weight in Pounds,Cattle,"1,368.00",Commercial,Live,Red Meat
Nov-2018,2018,11,Average Weight in Pounds,Cattle,"1,370.00",Commercial,Live,Red Meat
Oct-2018,2018,10,Average Weight in Pounds,Cattle,"1,363.00",Commercial,Live,Red Meat
Sep-2018,2018,9,Average Weight in Pounds,Cattle,"1,359.00",Commercial,Live,Red Meat
Aug-2018,2018,8,Average Weight in Pounds,Cattle,"1,344.00",Commercial,Live,Red Meat
Jul-2018,2018,7,Average Weight in Pounds,Cattle,"1,330.00",Commercial,Live,Red Meat
Jun-2018,2018,6,Average Weight in Pounds,Cattle,"1,321.00",Commercial,Live,Red Meat
May-2018,2018,5,Average Weight in Pounds,Cattle,"1,316.00",Commercial,Live,Red Meat
Apr-2018,2018,4,Average Weight in Pounds,Cattle,"1,334.00",Commercial,Live,Red Meat
Mar-2018,2018,3,Average Weight in Pounds,Cattle,"1,358.00",Commercial,Live,Red Meat
Feb-2018,2018,2,Average Weight in Pounds,Cattle,"1,368.00",Commercial,Live,Red Meat
Jan-2018,2018,1,Average Weight in Pounds,Cattle,"1,377.00",Commercial,Live,Red Meat
Dec-2017,2017,12,Average Weight in Pounds,Cattle,"1,380.00",Commercial,Live,Red Meat
Nov-2017,2017,11,Average Weight in Pounds,Cattle,"1,374.00",Commercial,Live,Red Meat
Oct-2017,2017,10,Average Weight in Pounds,Cattle,"1,361.00",Commercial,Live,Red Meat
Sep-2017,2017,9,Average Weight in Pounds,Cattle,"1,359.00",Commercial,Live,Red Meat
Aug-2017,2017,8,Average Weight in Pounds,Cattle,"1,345.00",Commercial,Live,Red Meat
Jul-2017,2017,7,Average Weight in Pounds,Cattle,"1,333.00",Commercial,Live,Red Meat
Jun-2017,2017,6,Average Weight in Pounds,Cattle,"1,321.00",Commercial,Live,Red Meat
May-2017,2017,5,Average Weight in Pounds,Cattle,"1,307.00",Commercial,Live,Red Meat
Apr-2017,2017,4,Average Weight in Pounds,Cattle,"1,325.00",Commercial,Live,Red Meat
Mar-2017,2017,3,Average Weight in Pounds,Cattle,"1,350.00",Commercial,Live,Red Meat
Feb-2017,2017,2,Average Weight in Pounds,Cattle,"1,361.00",Commercial,Live,Red Meat
Jan-2017,2017,1,Average Weight in Pounds,Cattle,"1,370.00",Commercial,Live,Red Meat
Dec-2016,2016,12,Average Weight in Pounds,Cattle,"1,381.00",Commercial,Live,Red Meat
Nov-2016,2016,11,Average Weight in Pounds,Cattle,"1,384.00",Commercial,Live,Red Meat
Oct-2016,2016,10,Average Weight in Pounds,Cattle,"1,381.00",Commercial,Live,Red Meat
Sep-2016,2016,9,Average Weight in Pounds,Cattle,"1,370.00",Commercial,Live,Red Meat
