Date-Time,Value,Unit,Commodity
2024-01-01,203.8791304,Cents per Pound,Coffee
2023-12-01,210.3104762,Cents per Pound,Coffee
2023-11-01,197.4331818,Cents per Pound,Coffee
2023-10-01,183.9513636,Cents per Pound,Coffee
2023-09-01,183.5890476,Cents per Pound,Coffee
2023-08-01,186.3469565,Cents per Pound,Coffee
2023-07-01,193.4942857,Cents per Pound,Coffee
2023-06-01,207.385,Cents per Pound,Coffee
2023-05-01,220.1213043,Cents per Pound,Coffee
2023-04-01,229.9555,Cents per Pound,Coffee
2023-03-01,222.663913,Cents per Pound,Coffee
2023-02-01,229.506,Cents per Pound,Coffee
2023-01-01,206.76,Cents per Pound,Coffee
2022-12-01,210.3886364,Cents per Pound,Coffee
2022-11-01,213.7181818,Cents per Pound,Coffee
2022-10-01,240.082381,Cents per Pound,Coffee
2022-09-01,267.4922727,Cents per Pound,Coffee
2022-08-01,268.4834783,Cents per Pound,Coffee
2022-07-01,255.9066667,Cents per Pound,Coffee
2022-06-01,273.7636364,Cents per Pound,Coffee
2022-05-01,260.4495455,Cents per Pound,Coffee
2022-04-01,265.397619,Cents per Pound,Coffee
2022-03-01,258.9934783,Cents per Pound,Coffee
2022-02-01,279.8335,Cents per Pound,Coffee
2022-01-01,271.0814286,Cents per Pound,Coffee
2021-12-01,268.3291304,Cents per Pound,Coffee
2021-11-01,258.9781818,Cents per Pound,Coffee
2021-10-01,241.0733333,Cents per Pound,Coffee
2021-09-01,225.5368182,Cents per Pound,Coffee
2021-08-01,216.4345455,Cents per Pound,Coffee
2021-07-01,204.5009091,Cents per Pound,Coffee
2021-06-01,192.0645455,Cents per Pound,Coffee
2021-05-01,186.4628571,Cents per Pound,Coffee
2021-04-01,168.6486364,Cents per Pound,Coffee
2021-03-01,167.0508696,Cents per Pound,Coffee
2021-02-01,166.429,Cents per Pound,Coffee
2021-01-01,160.8195238,Cents per Pound,Coffee
2020-12-01,157.9526087,Cents per Pound,Coffee
2020-11-01,150.7261905,Cents per Pound,Coffee
2020-10-01,152.0568182,Cents per Pound,Coffee
2020-09-01,166.5645455,Cents per Pound,Coffee
2020-08-01,163.0714286,Cents per Pound,Coffee
2020-07-01,146.7808696,Cents per Pound,Coffee
2020-06-01,141.52,Cents per Pound,Coffee
2020-05-01,149.9161905,Cents per Pound,Coffee
2020-04-01,154.6304545,Cents per Pound,Coffee
2020-03-01,148.3272727,Cents per Pound,Coffee
2020-02-01,135.5005,Cents per Pound,Coffee
2020-01-01,142.9365217,Cents per Pound,Coffee
2019-12-01,156.0290909,Cents per Pound,Coffee
2019-11-01,140.9814286,Cents per Pound,Coffee
2019-10-01,127.0513043,Cents per Pound,Coffee
2019-09-01,128.8942857,Cents per Pound,Coffee
2019-08-01,126.2795455,Cents per Pound,Coffee
2019-07-01,135.4704348,Cents per Pound,Coffee
2019-06-01,129.7235,Cents per Pound,Coffee
2019-05-01,120.5491304,Cents per Pound,Coffee
2019-04-01,120.9904545,Cents per Pound,Coffee
2019-03-01,123.8885714,Cents per Pound,Coffee
2019-02-01,128.454,Cents per Pound,Coffee
2019-01-01,128.3573913,Cents per Pound,Coffee
2018-12-01,127.0585714,Cents per Pound,Coffee
2018-11-01,137.1077273,Cents per Pound,Coffee
2018-10-01,137.3417391,Cents per Pound,Coffee
2018-09-01,121.18,Cents per Pound,Coffee
2018-08-01,125.2108696,Cents per Pound,Coffee
2018-07-01,130.5986364,Cents per Pound,Coffee
2018-06-01,134.0338095,Cents per Pound,Coffee
2018-05-01,135.6095652,Cents per Pound,Coffee
2018-04-01,134.3395238,Cents per Pound,Coffee
2018-03-01,134.9390909,Cents per Pound,Coffee
